id,name,type,axis_type,min,max,init_val,bone_id
0,Translation X,1,0,-100000,100000,0,1
1,Translation Y,1,1,-100000,100000,0,1
2,Translation Z,1,2,-100000,100000,0,1
3,Rotation X,0,0,-3.14,3.14,0,1
4,Rotation Y,0,1,-3.14,3.14,1.57,1
5,Rotation Z,0,2,-3.14,3.14,1.57,1
6,Thumb1 abduction,0,2,-1,1,0,2
7,Thumb1 flexion,0,0,-0.5,1,0,2
8,Thumb2 flexion,0,0,-1.5,0.9,0,3
9,Thumb3 flexion,0,0,-1.5,0.7,0,4
10,Index1 abduction,0,2,-1,0.35,0,5
11,Index1 flexion,0,0,-1,1.6,0,5
12,Index2 flexion,0,0,-0.1,2,0,6
13,Index3 flexion,0,0,-0.1,2,0,7
14,Middle1 abduction,0,2,-1,0.4,0,8
15,Middle1 flexion,0,0,-1.3,1.6,0,8
16,Middle2 flexion,0,0,-0.1,2,0,9
17,Middle3 flexion,0,0,-0.1,2,0,10
18,Ring1 abduction,0,2,-1,0.3,0,11
19,Ring1 flexion,0,0,-1.3,1.6,0,11
20,Ring2 flexion,0,0,-0.1,2,0,12
21,Ring3 flexion,0,0,-0.1,2,0,13
22,Pinky1 abduction,0,2,-1,0.65,0,14
23,Pinky1 flexion,0,0,-1.3,1.6,0,14
24,Pinky2 flexion,0,0,-0.1,2,0,15
25,Pinky3 flexion,0,0,-0.1,2,0,16
